n	i	Nsites	phi
32	11	680	0.138528138528139
32	7	709	0.182857142857143
32	16	324	0.0625
32	13	738	0.129554655870445
32	6	699	0.205128205128205
32	9	690	0.154589371980676
32	12	699	0.133333333333333
32	14	734	0.126984126984127
32	15	672	0.125490196078431
32	8	725	0.166666666666667
32	4	887	0.285714285714286
32	10	682	0.145454545454545
32	5	798	0.237037037037037
90	38	1	0.0455465587044534
90	25	1	0.0553846153846154
90	28	1	0.0518433179723502
90	26	1	0.0540865384615385
90	23	1	0.0584036340038936
90	12	1	0.0961538461538461
118	17	1	0.0687245195107746
71	35	2	0.0563492063492063
71	32	2	0.0568910256410256
71	33	7	0.0566188197767145
71	11	3	0.107575757575758
71	21	2	0.0676190476190476
71	26	1	0.0606837606837607
71	17	1	0.0773420479302832
71	22	4	0.0658627087198516
71	18	5	0.0744234800838574
71	30	4	0.0577235772357724
71	16	4	0.0806818181818182
71	13	2	0.0941644562334218
71	29	3	0.0582922824302135
71	27	3	0.0597643097643098
71	28	5	0.0589700996677741
71	9	7	0.127240143369176
71	12	2	0.100282485875706
71	15	2	0.0845238095238095
71	20	3	0.0696078431372549
71	14	5	0.0889724310776942
71	8	7	0.140873015873016
71	34	5	0.0564387917329094
71	24	1	0.0629432624113475
71	19	3	0.0718623481781376
71	10	4	0.116393442622951
71	31	1	0.057258064516129
102	50	1	0.0392307692307692
102	14	1	0.0827922077922078
102	15	1	0.0781609195402299
102	49	1	0.039276087793608
102	30	1	0.0472222222222222
102	43	1	0.0402049664958612
102	44	1	0.0399686520376176
102	29	1	0.048181388757676
125	47	1	0.0340971085651937
125	48	1	0.0338203463203463
44	11	156	0.121212121212121
44	21	153	0.0910973084886128
44	7	151	0.16988416988417
44	17	145	0.0958605664488017
44	22	74	0.0454545454545455
44	18	136	0.094017094017094
44	16	136	0.0982142857142857
44	13	149	0.109181141439206
44	6	193	0.192982456140351
44	9	135	0.13968253968254
44	12	127	0.114583333333333
44	20	143	0.0916666666666667
44	14	178	0.104761904761905
44	15	134	0.101149425287356
44	8	150	0.152777777777778
44	19	158	0.0926315789473684
44	10	160	0.129411764705882
44	5	209	0.225641025641026
55	11	28	0.113636363636364
55	21	24	0.07703081232493
55	7	42	0.163690476190476
55	26	32	0.0729442970822281
55	17	31	0.0851393188854489
55	22	26	0.0757575757575758
55	18	33	0.0825825825825826
55	13	24	0.100732600732601
55	16	29	0.0881410256410256
55	23	33	0.0747282608695652
55	27	25	0.0727513227513227
55	6	34	0.187074829931973
55	25	41	0.0733333333333333
55	9	26	0.132850241545894
55	12	25	0.106589147286822
55	14	25	0.0958188153310104
55	15	25	0.0916666666666667
55	20	25	0.0785714285714286
55	8	29	0.146276595744681
55	24	37	0.0739247311827957
55	19	26	0.0804093567251462
55	10	20	0.122222222222222
84	35	2	0.0489795918367347
84	33	1	0.0499108734402852
84	22	1	0.06158357771261
84	30	1	0.0518518518518519
84	16	2	0.0772058823529412
84	27	3	0.0545808966861598
84	25	2	0.0569491525423729
84	28	1	0.0535714285714286
84	9	1	0.124444444444444
84	41	1	0.0476460578559274
84	12	1	0.0972222222222222
84	20	3	0.065625
84	15	1	0.0811594202898551
84	37	2	0.0483036227717079
84	19	1	0.0680161943319838
84	31	2	0.0511259890444309
27	6	977	0.214285714285714
27	11	974	0.153409090909091
27	3	1236	0.375
27	7	951	0.192857142857143
27	9	939	0.166666666666667
27	12	1000	0.15
27	8	907	0.177631578947368
27	4	1124	0.293478260869565
27	13	994	0.148351648351648
27	10	1031	0.158823529411765
27	5	1067	0.245454545454545
190	47	1	0.0282696027376878
57	11	20	0.112648221343874
57	21	25	0.0753968253968254
57	7	31	0.162857142857143
57	26	21	0.0707196029776675
57	17	20	0.0838235294117647
57	22	23	0.074025974025974
57	18	25	0.0811965811965812
57	13	19	0.0996503496503497
57	16	23	0.086890243902439
57	23	18	0.0728900255754476
57	27	22	0.0703703703703704
57	6	36	0.186274509803922
57	25	26	0.07125
57	28	25	0.0701970443349754
57	9	22	0.131944444444444
57	12	20	0.105555555555556
57	20	24	0.077027027027027
57	15	28	0.0904761904761905
57	14	21	0.0946843853820598
57	8	26	0.145408163265306
57	24	24	0.071969696969697
57	10	22	0.121276595744681
57	19	19	0.0789473684210526
95	18	1	0.0685425685425685
95	45	1	0.0422222222222222
95	10	1	0.111764705882353
95	17	1	0.0716440422322775
95	20	1	0.0633333333333333
95	47	2	0.0421099290780142
109	32	1	0.044237012987013
109	50	1	0.0369491525423729
151	75	1	0.0264912280701754
89	32	2	0.0487938596491228
89	11	2	0.103729603729604
89	21	1	0.0623249299719888
89	18	1	0.0696400625978091
89	30	1	0.0502824858757062
89	16	1	0.0761986301369863
89	23	1	0.0586297760210804
89	44	3	0.0449494949494949
89	27	2	0.0531660692951016
89	28	1	0.0521077283372365
89	41	2	0.0452235772357724
89	14	1	0.0847619047619048
89	20	1	0.0644927536231884
89	15	1	0.0801801801801802
89	43	1	0.044994944388271
31	11	794	0.140909090909091
31	7	775	0.18452380952381
31	13	722	0.132478632478632
31	6	740	0.206666666666667
31	9	701	0.156565656565657
31	12	776	0.135964912280702
31	15	778	0.129166666666667
31	14	755	0.130252100840336
31	8	750	0.168478260869565
31	4	927	0.287037037037037
31	10	750	0.147619047619048
31	5	825	0.238461538461538
35	11	515	0.132575757575758
35	7	548	0.178571428571429
35	17	536	0.11437908496732
35	13	478	0.122377622377622
35	16	520	0.115131578947368
35	6	551	0.201149425287356
35	9	501	0.14957264957265
35	12	486	0.126811594202899
